nest_id,date,eggs,young,dead_young,nest_status,adult_status,young_status,notes
P21 N1 24,2024-06-05,0,0,0,cn,va,no,Kate- female and 2 males close by. All left but stayed in vicinity of plot. Noticed 1 male returned closer to nest location about 20 minutes later. Did not spot female at the time.
P21 N1 24,2024-06-07,0,0,0,cn,va,no,male and female nearby female flushed from grass. 
P21 N1 24,2024-06-13,0,0,0,cn,no,no,Jane; still empty
P21 N1 24,2024-06-26,0,0,0,dn,no,no,"still no eggs, assuming this nest was abandoned "
P21 Probable,2024-06-25,,,,,va,fy,"flushed 1 baby who flew a little bit
was not able to see other babies right nearby the post/original probable nest, adults further up the hill inside plot 24 near the gate and top of the hill. "
P21 Probable,2024-07-01,,,,,fa,fy,"flying young, 2 females and 2 males present and guarding (as many times before), adults may be associated with P21 Probable2"
P21 Probable 2,2024-06-25,,,,,va,fy,">=3 each males and females/young flying, guarding, some feeding, poss some flying young , at least 7 birds in this area "
P21 Probable 2,2024-06-27,,,,,no,no,No bobolinks left 
P21 Probable 2,2024-07-01,,,,,va,fy,Jane: 2 adult males and 2 adult females guarding. flushed a few (2 or 3?) babies which flew about 20 m or so but did not seem to guard or return/circle back. I did not see food in anyone’s mouths
P3 probable,2024-06-25,,,,,va,,"Tom, Gillian, Jane observed male and female consistently guarding the area but we could not narrow it down enough to find a nest. did not observe any young. all of us have seen this pair in the same area for a few weeks."
P6 N1 24,2024-06-06,6,0,0,cn,aa,no,Gillian- female on nest 
P6 N1 24,2024-06-07,2,3,0,cn,no,hy,look like they are just hatching. very tall clover bluegrass and smooth brome
P6 N1 24,2024-06-10,0,5,0,cn,aa,ny,flushed female - young eyes closed with a little fluff on them. 
P6 N1 24,2024-06-12,0,5,0,cn,va,py,"Jane, early evening, feathers on babies appear bluish—are they bobolinks? can’t see whether there is still an egg underneath"
P6 N1 24,2024-06-17,1,0,0,cn,no,no,"no young left likely fledged, one egg remained. "
P7 N1 24,2024-06-06,5,0,0,cn,aa,no,female returned to nest. patch of smooth brome
P7 N1 24,2024-06-07,5,0,0,cn,no,no,only 1 post
P7 N1 24,2024-06-10,4,1,0,cn,aa,ny,female flushed. one very small young just hatched. naked eyes closed 
P7 N1 24,2024-06-11,0,5,0,cn,va,ny,"sunny afternoon, adults not especially vigilant, Jane checked and adjusted posts a bit for better ease finding the nest next time"
P7 N1 24,2024-06-13,0,5,0,cn,aa,ny,"Kate. Sunny, warm. Mother flushed when appoached but returned soon after. Stayed in the vicinity."
P7 N1 24,2024-06-17,0,4,0,cn,va,py,"4 partially feathered babies, eyes open. Not sure what happened to the fifth baby. "
P7 N1 24,2024-06-19,0,4,0,cn,va,fy,"4 young, 1 jumped out of nest during visit prior to the nest photo. got photo of the 1 out of the nest too"
P7 N1 24,2024-06-21,0,0,0,cn,no,no,"empty nest, assuming they fledged "
P8 N1 24,2024-06-12,2,3,0,cn,va,ny,"42.646906, -70.857748"
P8 N1 24,2024-06-17,,3,0,cn,va,py,Gillian- three babies with eyes open and pin feathers 
P8 N1 24,2024-06-19,,3,0,cn,va,fy,1 hopped out while we were checking
P8 N1 24,2024-06-21,2,0,0,cn,va,no,"two eggs, no babies "
P8 N1 24,2024-06-24,2,0,0,cn,fa,no,jane
P8 N1 24,2024-07-02,2,0,0,cn,no,no,"no bobolink activity in plot 8, all red posts removed and nest locations recorded"
plains N1 24,2024-06-11,4,0,0,cn,aa,no,Tom observed female return to this area multiple times (after we flushed her and males from other places). found nest by thorough search 
plains N1 24,2024-06-13,5,0,0,cn,va,no,"Jane, Thursday 4:10pm"
plains N1 24,2024-06-15,,,,,no,,couldn’t find nest between stakes. TAP
plains N1 24,2024-06-17,0,0,0,cn,no,no,"No eggs or young, no sings of damage"
Playground N1 24,2024-06-11,4,0,0,cn,va,no,"observed female spending a lot of time in the vicinity. then when we went to mark the general location, we flushed her directly from the location and found the nest"
Playground N1 24,2024-06-15,4,0,0,cn,va,no,female near nest. male on top of stake when I arrived 
Playground N1 24,2024-06-21,0,4,0,cn,va,py,pibfeathers on wings closed. eyes mostly closed. 
Playground N1 24,2024-06-25,0,4,0,cn,fa,fy,"Jane saw 4 healthy young babies in the nest before 3 jumped out! male and female adults stayed nearby with food in their mouths, and guarding the nest. Alyssa was using the tractor to stack the playground bales while I was visiting the nest."
Playground N1 24,2024-06-27,0,0,0,cn,va,no,empty nest but a male and female remained near by 
Playground N1 24,2024-07-01,,,,,va,no,"Jane: flushed 1 flying baby in the mowed field closer to tbe road to Zoe’s (male and female adults both flying in and near upper edge as I walked through the refuge. could not tel whether adults had food, they both flew around and were guarding the mowed area between the refuge and the road to Zoe’s.) "
